,PRICE_DIFF,LSTM_B50_1_60k,LSTM_B50_2_65k,LSTM_B50_3_75k,LSTM_B50_Sharpe_14k,LSTM_B50_Dempster_55k,LSTM_B50_no_fees_1_70k,LSTM_B50_no_fees_2_65k,RNN_B50_1_70k,RNN_B50_2_60k,LSTM_B50_Stacked_N10_70k,LSTM_B50_Stacked_N20_70k,LSTM_B50_Stacked_N40_55k,SL_LSTM_B50_N30_50k,SL_RNN_B50_N30,SHOP_LSTM_B50_FEE20_68k,SHOP_RNN_B50_FEE20_60k,RECURRENT_LSTM_B50_REAL_FEE20_68k,RECURRENT_RNN_B50_REAL_FEE20_60k,RECURRENT_LSTM_B50_REAL_FEE20_SHAPRE_1k,RECURRENT_LSTM_B50_REAL_FEE20_Dempster025_1_50k,RECURRENT_LSTM_B50_REAL_FEE20_Dempster075_2_40k,RECURRENT_LSTM_B50_REAL_Stacked_adv_N20_1_59k,RECURRENT_LSTM_B50_REAL_Stacked_adv_N20_2_70k,RECURRENT_LSTM_B50_REAL_FEE20_Multi_0k,RECURRENT_LSTM_B50_REAL_FEE20_Sharpe_Sqrt,RECURRENT_LSTM_B50_REAL_FEE20_Multi_Dev_10k
2121,-6493.695422499557,0.9942554235458374,0.9569290876388546,0.9732781648635866,0.1947021186351776,0.9867070317268372,0.9949325323104858,0.9955800175666808,-0.925755262374878,0.8366050124168397,0.999495029449463,0.999495029449463,0.999495029449463,0.06269221752882004,0.02650903537869453,0.9999450445175171,-0.2503708899021149,0.9999450445175171,-0.2503708899021149,0.06848068535327913,0.99961656332016,0.004314748104661703,0.9995487928390504,0.9999921917915344,0.9999548792839048,-0.36433878540992737,0.999982595443726
2122,-11196.248730833408,0.8465959429740905,-0.5946583151817321,-0.6560995578765869,0.027375904843211167,0.9168328046798706,-0.9509246349334716,-0.19658043980598447,-0.9858393669128418,-0.31272822618484497,-0.9841110706329343,-0.9841110706329343,-0.9841110706329343,0.03927593305706978,0.06685306876897812,0.9798876643180848,0.6842225790023804,0.9798876643180848,0.6842225790023804,-0.05459006503224372,0.9958938360214236,-0.04767856374382973,-0.9955369234085086,-0.9970996975898744,0.9999548792839048,-0.36459511518478394,0.999982595443726
2123,4132.854970833636,-0.5564130544662476,-0.9320380687713624,-0.9704458117485046,-0.08322983980178834,0.5127747058868408,-0.98473984003067,-0.9746646881103516,-0.7008755207061768,-0.6162621974945068,-0.7650545835494995,-0.7650545835494995,-0.7650545835494995,0.020757326856255524,0.1295618116855621,0.1639689952135086,-0.4812585413455963,0.1639689952135086,-0.4812585413455963,-0.03571579232811928,0.9711750745773314,-0.0694466382265091,0.2637139856815338,-0.9719904065132141,0.9999548792839048,-0.3645947873592377,0.999982595443726
2124,5851.323432499776,0.2381341755390167,0.687286376953125,0.9691205024719242,0.07714031636714934,0.9175025820732116,0.9920266866683962,0.7872376441955566,0.9376854896545408,0.6462569832801819,0.99996817111969,0.99996817111969,0.99996817111969,0.03771797195076941,0.22372087836265564,0.9662127494812012,-0.1085732951760292,0.9662127494812012,-0.1085732951760292,0.17695729434490204,0.9988528490066528,0.00820189993828535,0.9989497661590576,0.8270308375358579,0.9999548196792603,-0.3643608093261719,0.999982595443726
2125,731.0750461666612,0.6306998133659363,0.8090240955352782,0.9476877450942992,0.13711719214916224,0.9704254865646362,0.9565608501434328,0.9626672863960266,-0.8086518049240113,0.798045814037323,0.9994907379150388,0.9994907379150392,0.9994907379150388,0.04454795271158218,0.07649494707584381,0.9988622069358823,0.1497592329978943,0.9988622069358823,0.1497592329978943,0.11343595385551453,0.9995259642601012,0.007221982348710297,0.9997979998588562,0.9999487996101378,0.9999548792839048,-0.36442410945892323,0.999982595443726
2126,25972.623742833846,0.28441569209098816,0.2447126358747482,0.4609778523445129,0.08766306191682817,0.8756687641143798,-0.17793789505958554,0.7245887517929076,-0.8743605017662048,0.4914271533489228,-0.411790907382965,-0.41179090738296503,-0.411790907382965,0.03369475528597832,0.11543803662061693,0.9975902438163756,0.9943488240242004,0.9975902438163756,0.9943488240242004,0.037468340247869485,0.9991553425788879,-0.01111610885709524,0.8411777019500734,0.7027909755706788,0.9999548792839048,-0.3645809590816498,0.999982595443726
2127,-1723.9913363337982,0.9959913492202758,0.9992260932922366,0.9999851584434508,0.33336833119392395,0.9969627857208254,0.9999995231628418,0.9998826384544371,0.999843657016754,0.9971804618835448,0.9999996423721312,0.9999996423721312,0.9999996423721312,0.07495908439159392,0.04486214742064476,0.9999791383743286,0.9999400377273562,0.9999791383743286,0.9999400377273562,0.2909412682056428,0.9999557137489318,0.1765519380569458,0.9999988079071046,0.9999997615814209,0.9999548792839048,-0.364680290222168,0.999982595443726
2128,3691.154886500211,0.9645488858222958,0.7376935482025146,0.4564229846000671,0.09053266048431396,0.9634631872177124,-0.7415342926979066,0.9310885071754458,-0.989189803600311,0.8493035435676575,-0.9760194420814514,-0.9760194420814514,-0.9760194420814514,0.035749003291130066,-0.00661789858713746,0.9994809031486512,-0.7455332279205322,0.9994809031486512,-0.7455332279205322,0.006181662436574697,0.9992547035217282,0.057685323059558875,-0.9206926822662352,-0.9716824889183044,0.9999548792839048,-0.3647323846817017,0.999982595443726
2129,-4013.546570000355,0.9728046655654912,0.8606146574020385,0.9900677204132082,0.08265610039234161,0.9522866606712338,0.9974423050880432,0.9203419089317321,0.9775082468986512,0.7500461339950562,0.9998924136161804,0.9998924136161804,0.9998924136161804,0.02704925276339054,0.09128672629594804,0.9961223602294924,0.5798865556716919,0.9961223602294924,0.5798865556716919,0.09370065480470656,0.9995177388191224,0.08360865712165831,0.9997786879539491,0.9915695786476136,0.9999548792839048,-0.36473700404167175,0.999982595443726
2130,1331.6026611666894,0.748321533203125,-0.5087435841560364,-0.7171900272369385,-0.034230612218379974,0.7403966188430785,-0.9893214106559752,-0.4906859695911407,0.8467441201210022,0.8131556510925294,-0.9002872109413147,-0.9002872109413147,-0.9002872109413147,0.009203352034091948,0.09186704456806184,0.7746878266334533,0.7281256914138796,0.7746878266334533,0.7281256914138796,0.0406169518828392,0.9976115822792052,0.01670967414975167,-0.28765231370925903,-0.9776228070259096,0.9999548792839048,-0.3647509217262268,0.999982595443726
